LRIG3	EFNA5
CADM1	EFNA5
INSR	EFNA5
TEC	EFNA5
MFRP	EFNA5
TEK	EFNA5
EPHA5	EFNA5
CAMKK1	EFNA5
IGF1R	EFNA5
SLITRK5	EFNA5
EPHA2	EFNA5
ENG	EFNA5
CDNF	EFNA5
CD55	EFNA5
EPHB6	EFNA5
NOTCH1	EFNA5
NRCAM	EFNA5
SEMA6A	EFNA5
UNC5D	EFNA5
ANXA6	EFNA5
EGFR	ERBB3
GHR	ERBB3
BMP1	ERBB3
KLKB1	ERBB3
JAG1	ERBB3
ALCAM	ERBB3
LAYN	ERBB4
PRKCZ	ERBB4
FGF9	ERBB4
GAS1	ERBB4
H2AFZ	ERBB4
FCRL3	ERBB4
KIRREL3	ERBB4
IFNGR1	TACSTD2
NTRK3	IL6ST
EGFR	IL6ST
SIGLEC7	IL6ST
SHH	IL6ST
CDH5	IL6ST
MET	IL6ST
BMP7	IL6ST
CNTN1	IL6ST
MRC2	IL6ST
CNTN4	IL6ST
DLL4	IL6ST
HTRA2	IL6ST
MATN2	IL6ST
THBS4	IL6ST
INSR	IL6ST
SELE	IL6ST
CHL1	IL6ST
DKK3	IL6ST
MMP2	IL6ST
IGF1R	IL6ST
L1CAM	IL6ST
CHST15	IL6ST
NCAM1	IL6ST
CDON	IL6ST
NTRK2	IL6ST
ENG	IL6ST
CD55	IL6ST
GPNMB	IL6ST
NOTCH1	IL6ST
ROBO2	IL6ST
SEMA6A	IL6ST
TNFRSF21	IL6ST
ALCAM	IL6ST
PRKCZ	HMOX2
UBE2I	HMOX2
GPC2	HMOX2
CAMK2B	HMOX2
ARID3A	HMOX2
RBM39	HMOX2
GREM1	HMOX2
HDGFRP2	HMOX2
GSTP1	HMOX2
SSRP1	HMOX2
NCR2	E7_HPV16
ADAMTS4	E7_HPV16
PCNA	E7_HPV16
CD207	E7_HPV16
CNTF	E7_HPV16
XCL1	E7_HPV16
EIF4EBP2	E7_HPV16
FGF12	E7_HPV16
IL23A	E7_HPV16
PDGFA	E7_HPV16
BIRC7	E7_HPV16
LTBR	E7_HPV18
OSM	E7_HPV18
TNFSF18	E7_HPV18
IL1F7	E7_HPV18
CD97	E7_HPV18
ARG1	E7_HPV18
CD22	E7_HPV18
WISP1	E7_HPV18
FCN2	E7_HPV18
AURKB	E7_HPV18
STAB2	E7_HPV18
FLT3	E7_HPV18
BIRC5	E7_HPV18
NTRK1	E7_HPV18
CDH6	E7_HPV18
MASP1	E7_HPV18
EPHB4	E7_HPV18
LGMN	E7_HPV18
PRSS27	E7_HPV18
CDC42BPB	E7_HPV18
CADM3	E7_HPV18
OPCML	E7_HPV18
DKKL1	E7_HPV18
PPP3R1	E7_HPV18
COLEC12	E7_HPV18
KLK14	E7_HPV18
IL5	E7_HPV18
TPO	E7_HPV18
SYNCRIP	E7_HPV18
DYRK3	E7_HPV18
SPHK2	E7_HPV18
TPM2	E7_HPV18
SH2D1A	E7_HPV18
ADCYAP1-38	E7_HPV18
HSD17B1	E7_HPV18
APOD	E7_HPV18
CMPK1	E7_HPV18
AGR2	E7_HPV18
RB1	E7_HPV18
STK17B	E7_HPV18
ABL2	E7_HPV18
BCAR3	E7_HPV18
CDH15	E7_HPV18
TNFRSF11A	E7_HPV18
GDI2	HSP90AA1
CAPN1	HSP90AA1
POR	HSP90AA1
IL16	HSP90AA1
RPS27A-UbB	HSP90AA1
MAPK3	HSP90AA1
RAC1	HSP90AA1
UBE2I	HSP90AA1
PTPN11	HSP90AA1
PRKACA	HSP90AA1
RPS6KA3	HSP90AA1
XPNPEP1	HSP90AA1
ITGA1	HSP90AA1
CASP3	HSP90AA1
MDH1	HSP90AA1
RPS7	HSP90AA1
ARID3A	HSP90AA1
NAGK	HSP90AA1
UBE2N	HSP90AA1
AKR1A1	HSP90AA1
NME2	HSP90AA1
GPI	HSP90AA1
RBM39	HSP90AA1
TKT	HSP90AA1
TPI1	HSP90AA1
PTPN6	HSP90AA1
HDGFRP2	HSP90AA1
MAPK14	HSP90AA1
MSN	HSP90AA1
HNRNPA2B1	HSP90AA1
IL12RB1	IL10RB
ARG1	IL10RB
TBP	IL10RB
CA4	IL10RB
CA7	IL10RB
CDC2	IL10RB
IL15RA	IL10RB
TG	IL10RB
TK1	IL10RB
IL34	IL10RB
MST1R	IL12RB1
CD97	IL12RB1
ARG1	IL12RB1
CHEK1	IL12RB1
TBP	IL12RB1
CA4	IL12RB1
CA7	IL12RB1
CDK8	IL12RB1
CDC2	IL12RB1
IL15RA	IL12RB1
TG	IL12RB1
IL4	IL13RA1
GDI2	IL2RG
ULBP3	IL2RG
SOD1	IL2RG
RPS27A-UbB	IL2RG
EHMT2	IL2RG
AREG	IL2RG
IFNG	IL2RG
JAM3	IL2RG
FTH1	IL2RG
KREMEN2	IL2RG
CAT	IL2RG
VIP	IL2RG
MDH1	IL2RG
PRDX1	IL2RG
PSMA6	IL2RG
RPS6KA5	IL2RG
SBDS	IL2RG
SEZ6L2	IL2RG
UBE2L3	IL2RG
EEF1B2	IL2RG
EIF5A	IL2RG
KPNB1	IL2RG
PDXP	IL2RG
UBE2N	IL2RG
NME2	IL2RG
NAPA	IL2RG
TPI1	IL2RG
INHBB	IL2RG
DHH	IL2RG
FGF16	IL2RG
FGF8-isoA	IL2RG
IL29	IL2RG
FGF7	IL2RG
FLRT1	IL2RG
EPB41	IL2RG
HBA1	IL2RG
CA1	IL2RG
PRDX6	IL2RG
ADSL	IL2RG
CSNK2A1-2B	IL2RG
PPIE	IL2RG
MAPT	LAYN
FGF9	LAYN
MMP17	LAYN
LGALS4	LAYN
CAMK1	LAYN
CSF1	LAYN
FCRL3	LAYN
OSM	LTBR
IL1F7	LTBR
CCL1	LTBR
AIF1	LTBR
DSG1	LTBR
JAM2	LTBR
ARSB	LTBR
CTSD	LTBR
ENTPD1	LTBR
F7	LTBR
KLK12	LTBR
FOLH1	LTBR
FCN2	LTBR
PIK3CG	LTBR
STAB2	LTBR
CAMK1D	LTBR
FLT3	LTBR
KLK6	LTBR
STK16	LTBR
CDH6	LTBR
MASP1	LTBR
EPHB4	LTBR
LGMN	LTBR
PRSS27	LTBR
CDC42BPB	LTBR
CADM3	LTBR
OPCML	LTBR
DKKL1	LTBR
TLR4	LTBR
PPP3R1	LTBR
COLEC12	LTBR
KLK14	LTBR
IL5	LTBR
DYRK3	LTBR
TPM2	LTBR
ZAP70	LTBR
ADCYAP1-27	LTBR
HSD17B1	LTBR
APOD	LTBR
PPIB	LTBR
PDIA3	LTBR
CMPK1	LTBR
PDE2A	LTBR
STK17B	LTBR
MAP3K7	LTBR
ABL2	LTBR
BCAR3	LTBR
CALR	LTBR
TNFRSF13C	LTBR
CDH15	LTBR
