H2AFZ	TNFRSF8
IL28A	TNFRSF8
MST1R	CRLF1
TDGF1	CRLF1
PECAM1	CRLF1
IL18RAP	CRLF1
ASGR1	CRLF1
TK1	CRLF1
KLK3	CRLF1
KIRREL3	CRLF1
PDE7A	CRLF1
NBL1	CST3
FSTL3	CST3
B2M	CST3
RELT	CST3
IL1R1	TYRO3
CADM1	TYRO3
TEK	TYRO3
GDI2	EIF5
RPS27A-UbB	EIF5
UBE2I	EIF5
METAP1	EIF5
CAMK2A	EIF5
PTPN11	EIF5
UFC1	EIF5
BTK	EIF5
CA13	EIF5
PRKACA	EIF5
RPS6KA3	EIF5
XPNPEP1	EIF5
CASP3	EIF5
UFM1	EIF5
PPIA	EIF5
TPT1	EIF5
ARID3A	EIF5
EEF1B2	EIF5
UBE2N	EIF5
HSPA1A	EIF5
VTA1	EIF5
EPS15L1	EIF5
FER	EIF5
EIF4G2	EIF5
NME2	EIF5
NSFL1C	EIF5
NUDCD3	EIF5
PFDN5	EIF5
RBM39	EIF5
TKT	EIF5
TPI1	EIF5
PTPN6	EIF5
PDPK1	EIF5
RPS27A	EIF5
GSTP1	EIF5
CRK	EIF5
SCARF1	EIF5
CSNK2A1-2B	EIF5
SHC1	EIF5
EFNA5	EFNA4
BCAM	EFNA4
NBL1	EFNA4
TNFSF15	EFNA4
PDCD1LG2	EFNA4
Ck-beta-8-1	EFNA4
IL18BP	EFNA4
SERPINE2	EFNA4
HTRA2	EFNA4
LRIG3	EFNA4
CADM1	EFNA4
INSR	EFNA4
PLAU	EFNA4
IGF1R	EFNA4
C3B	EFNA4
EPHA2	EFNA4
ENG	EFNA4
CDNF	EFNA4
RELT	EFNA4
SEMA6A	EFNA4
NTRK3	EFNA5
CNTFR	EFNA5
AGRP	EFNA5
BCAM	EFNA5
KLK8	EFNA5
WIF1	EFNA5
NBL1	EFNA5
IL1R1	EFNA5
PDCD1LG2	EFNA5
TGFBR3	EFNA5
Ck-beta-8-1	EFNA5
IL18BP	EFNA5
CD109	EFNA5
LRIG3	EFNA5
CADM1	EFNA5
INSR	EFNA5
TEC	EFNA5
MFRP	EFNA5
TEK	EFNA5
CAMKK1	EFNA5
IGF1R	EFNA5
C3B	EFNA5
SLITRK5	EFNA5
EPHA2	EFNA5
ENG	EFNA5
CDNF	EFNA5
CD55	EFNA5
NOTCH1	EFNA5
NRCAM	EFNA5
SEMA6A	EFNA5
UNC5C	EFNA5
UNC5D	EFNA5
ANXA6	EFNA5
SPINT1	ERBB2
SERPINA6	ERBB2
IL6ST	ERBB3
EGFR	ERBB3
GHR	ERBB3
BMP1	ERBB3
IGF2R	ERBB3
PLG	ERBB3
FCN3	ERBB3
KLKB1	ERBB3
NOTCH1	ERBB3
ALCAM	ERBB3
PRKCZ	ERBB4
BCL2	ERBB4
EPHA3	ERBB4
FGF1	ERBB4
CNTF	ERBB4
CDH12	ERBB4
IL7	ERBB4
H2AFZ	ERBB4
KIRREL3	ERBB4
IL20RA	ERBB4
NTRK3	IL6ST
EGFR	IL6ST
SHH	IL6ST
CDH5	IL6ST
MET	IL6ST
BMP7	IL6ST
CNTN1	IL6ST
MRC2	IL6ST
CNTN4	IL6ST
HTRA2	IL6ST
MATN2	IL6ST
RGMB	IL6ST
TFPI	IL6ST
INSR	IL6ST
CHL1	IL6ST
MMP2	IL6ST
IGF1R	IL6ST
CHST15	IL6ST
NCAM1	IL6ST
CDON	IL6ST
EMR2	IL6ST
NTRK2	IL6ST
ENG	IL6ST
CD55	IL6ST
GPNMB	IL6ST
NOTCH1	IL6ST
ROBO2	IL6ST
TNFRSF21	IL6ST
ALCAM	IL6ST
HSP90AA1	HMOX2
PRKCZ	HMOX2
TOP1	HMOX2
UBE2I	HMOX2
GPC2	HMOX2
CAMK2B	HMOX2
ARID3A	HMOX2
RBM39	HMOX2
SFTPD	HMOX2
GREM1	HMOX2
HDGFRP2	HMOX2
GSTP1	HMOX2
MAPK13	HMOX2
HNRNPA2B1	HMOX2
PF4	E7_HPV16
NANOG	E7_HPV16
NCR2	E7_HPV16
IL10	E7_HPV16
ADAMTS4	E7_HPV16
PCNA	E7_HPV16
CD207	E7_HPV16
DKK4	E7_HPV16
PIK3CA	E7_HPV16
MPL	E7_HPV16
CNTF	E7_HPV16
IL17B	E7_HPV16
DKK1	E7_HPV16
PTK6	E7_HPV16
IL7	E7_HPV16
EIF4EBP2	E7_HPV16
PON1	E7_HPV16
FGF12	E7_HPV16
LRRTM3	E7_HPV16
IL23A	E7_HPV16
PDGFA	E7_HPV16
BIRC7	E7_HPV16
LTBR	E7_HPV18
OSM	E7_HPV18
TNFSF18	E7_HPV18
IL1F7	E7_HPV18
CD97	E7_HPV18
ARG1	E7_HPV18
CD22	E7_HPV18
WISP1	E7_HPV18
CA4	E7_HPV18
FCN2	E7_HPV18
AURKB	E7_HPV18
STAB2	E7_HPV18
FLT3	E7_HPV18
BIRC5	E7_HPV18
NTRK1	E7_HPV18
CDH6	E7_HPV18
MASP1	E7_HPV18
EPHB4	E7_HPV18
LGMN	E7_HPV18
PRSS27	E7_HPV18
MMEL1	E7_HPV18
CDC42BPB	E7_HPV18
CADM3	E7_HPV18
OPCML	E7_HPV18
DKKL1	E7_HPV18
PPP3R1	E7_HPV18
COLEC12	E7_HPV18
KLK14	E7_HPV18
IL5	E7_HPV18
TPO	E7_HPV18
SYNCRIP	E7_HPV18
DYRK3	E7_HPV18
SPHK2	E7_HPV18
TPM2	E7_HPV18
ADCYAP1-38	E7_HPV18
APOD	E7_HPV18
CMPK1	E7_HPV18
AGR2	E7_HPV18
RB1	E7_HPV18
PDE2A	E7_HPV18
STK17B	E7_HPV18
ABL2	E7_HPV18
BCAR3	E7_HPV18
CDH15	E7_HPV18
TNFRSF11A	E7_HPV18
GDI2	HSP90AA1
CAPN1	HSP90AA1
POR	HSP90AA1
IL16	HSP90AA1
XRCC6	HSP90AA1
RPS27A-UbB	HSP90AA1
MAPK3	HSP90AA1
RAC1	HSP90AA1
TOP1	HSP90AA1
UBE2I	HSP90AA1
EHMT2	HSP90AA1
ADRBK1	HSP90AA1
LYN-isoB	HSP90AA1
PTPN11	HSP90AA1
PRKACA	HSP90AA1
RPS6KA3	HSP90AA1
XPNPEP1	HSP90AA1
ITGA1	HSP90AA1
CASP3	HSP90AA1
MDH1	HSP90AA1
RPS7	HSP90AA1
ARID3A	HSP90AA1
NAGK	HSP90AA1
UBE2N	HSP90AA1
14-3-3	HSP90AA1
AKR1A1	HSP90AA1
NME2	HSP90AA1
GPI	HSP90AA1
RBM39	HSP90AA1
TKT	HSP90AA1
TPI1	HSP90AA1
PTPN6	HSP90AA1
SFTPD	HSP90AA1
RPS27A	HSP90AA1
CAPG	HSP90AA1
MAPK13	HSP90AA1
MAPK14	HSP90AA1
MSN	HSP90AA1
CLIC1	HSP90AA1
SSRP1	HSP90AA1
HNRNPA2B1	HSP90AA1
SRC	HSP90AA1
STIP1	HSP90AA1
ARG1	IL10RB
CA4	IL10RB
IL17RD	IL10RB
IFNA2	IL10RB
TK1	IL10RB
IL34	IL10RB
D-dimer	IL13RA1
GDI2	IL2RG
CAPN1	IL2RG
SOD1	IL2RG
RPS27A-UbB	IL2RG
EHMT2	IL2RG
AREG	IL2RG
IFNG	IL2RG
JAM3	IL2RG
FTH1	IL2RG
KREMEN2	IL2RG
XPNPEP1	IL2RG
CAT	IL2RG
MDH1	IL2RG
PRDX1	IL2RG
PSMA6	IL2RG
RPS6KA5	IL2RG
SBDS	IL2RG
UBE2L3	IL2RG
EEF1B2	IL2RG
EIF5A	IL2RG
KPNB1	IL2RG
PDXP	IL2RG
UBE2N	IL2RG
NME2	IL2RG
NAPA	IL2RG
TKT	IL2RG
TPI1	IL2RG
INHBB	IL2RG
DHH	IL2RG
FGF16	IL2RG
FGF8-isoA	IL2RG
IL29	IL2RG
FGF7	IL2RG
FLRT1	IL2RG
EPB41	IL2RG
HBA1	IL2RG
CA1	IL2RG
PRDX6	IL2RG
ADSL	IL2RG
CSNK2A1-2B	IL2RG
PPIE	IL2RG
FGF20	LAYN
IL27	LAYN
MMP17	LAYN
CRISP3	LAYN
GAS1	LAYN
CXCL12	LAYN
CTSE	LAYN
PAPPA	LAYN
FCRL3	LAYN
ANG	LAYN
OSM	LTBR
TNFSF18	LTBR
IL1F7	LTBR
NOG	LTBR
CCL1	LTBR
AIF1	LTBR
ARG1	LTBR
HDAC8	LTBR
DSG1	LTBR
JAM2	LTBR
ARSB	LTBR
CTSD	LTBR
