IL34	IL10RB
PRKCA	IL12RB1
SIGLEC6	IL12RB1
TBP	IL12RB1
NTF4	IL12RB1
TK1	IL12RB1
ICAM1	IL12RB1
ROBO3	IL12RB1
IL4	IL13RA1
GDI2	IL2RG
CAPN1	IL2RG
EHMT2	IL2RG
AREG	IL2RG
IFNG	IL2RG
JAM3	IL2RG
FTH1	IL2RG
KREMEN2	IL2RG
CNTN5	IL2RG
PRKACA	IL2RG
CAT	IL2RG
MDH1	IL2RG
PRDX1	IL2RG
PSMA6	IL2RG
RPS6KA5	IL2RG
SBDS	IL2RG
SEZ6L2	IL2RG
UBE2L3	IL2RG
EEF1B2	IL2RG
EIF5A	IL2RG
KPNB1	IL2RG
PDXP	IL2RG
PSMD7	IL2RG
UBE2N	IL2RG
AKR7A2	IL2RG
NME2	IL2RG
NAPA	IL2RG
TKT	IL2RG
INHBB	IL2RG
DHH	IL2RG
FGF16	IL2RG
FGF8-isoA	IL2RG
IL29	IL2RG
FGF7	IL2RG
FLRT1	IL2RG
EPB41	IL2RG
HBA1	IL2RG
CA1	IL2RG
PRDX6	IL2RG
ADSL	IL2RG
CSNK2A1-2B	IL2RG
PPIE	IL2RG
MMP17	LAYN
GAS1	LAYN
OSM	LTBR
TNFSF18	LTBR
IL1F7	LTBR
CCL1	LTBR
CD97	LTBR
AIF1	LTBR
ARG1	LTBR
DSG1	LTBR
JAM2	LTBR
ARSB	LTBR
ENTPD1	LTBR
KLK12	LTBR
FOLH1	LTBR
FCN2	LTBR
PIK3CG	LTBR
STAB2	LTBR
CAMK1D	LTBR
FLT3	LTBR
KLK6	LTBR
STK16	LTBR
CDH6	LTBR
MASP1	LTBR
EPHB4	LTBR
LGMN	LTBR
PRSS27	LTBR
MMEL1	LTBR
CDC42BPB	LTBR
CADM3	LTBR
OPCML	LTBR
OCIAD1	LTBR
DKKL1	LTBR
TLR4	LTBR
PPP3R1	LTBR
COLEC12	LTBR
KLK14	LTBR
IL5	LTBR
TPO	LTBR
DYRK3	LTBR
SPHK2	LTBR
TPM2	LTBR
ZAP70	LTBR
HSD17B1	LTBR
APOD	LTBR
PPIB	LTBR
PDIA3	LTBR
CMPK1	LTBR
PDE2A	LTBR
STK17B	LTBR
PDE11A	LTBR
MAP3K7	LTBR
ABL2	LTBR
BCAR3	LTBR
CALR	LTBR
CDH15	LTBR
TNFRSF11A	LTBR
TNFRSF1B	MRC1
FSTL3	MRC1
CD163	MRC1
ICAM2	CSF1R
ICOS	CSF1R
NRP1	CSF1R
FCGR3B	CSF1R
TNFSF8	CSF1R
CD163	CSF1R
NOTCH3	CSF1R
CA4	MST1R
KREMEN2	MST1R
MATN3	MST1R
CNTN5	MST1R
VIP	MST1R
PSMD7	MST1R
CCL24	MST1R
TK1	MST1R
HS6ST1	MST1R
HNRNPK	MST1R
RPS27A-UbB	PAFAH1B2
PTPN11	PAFAH1B2
EEF1B2	PAFAH1B2
EIF5A	PAFAH1B2
UBE2N	PAFAH1B2
AKR1A1	PAFAH1B2
NME2	PAFAH1B2
TKT	PAFAH1B2
TPI1	PAFAH1B2
RPS27A	PAFAH1B2
CRK	PAFAH1B2
SERPINF2	CDH3
ARSB	CDH3
IGFBP7	CDH3
SERPINC1	CDH3
MASP1	CDH3
EPHB4	CDH3
LGMN	CDH3
PRSS27	CDH3
OPCML	CDH3
DKKL1	CDH3
PPP3R1	CDH3
ETHE1	CDH3
APOD	CDH3
CMPK1	CDH3
AMH	CDH3
FGFR4	CDH3
JAK2	CDH3
PDE2A	CDH3
STK17B	CDH3
PDE11A	CDH3
ABL2	CDH3
TNFRSF13C	CDH3
SNRPF	CDH3
METAP1	PRKCA
CSK	PRKCA
LYN-isoB	PRKCA
BTK	PRKCA
LYN	PRKCA
CASP3	PRKCA
FYN	PRKCA
14-3-3	PRKCA
SPHK1	PRKCA
PDPK1	PRKCA
CLIC1	PRKCA
PPIF	PRKCA
PRKCB	PRKCA
SRC	PRKCA
MAPT	PRKCZ
PECAM1	PRKCZ
CRLF2	PRKCZ
SOD1	PRKCZ
MMP17	PRKCZ
ESR1	PRKCZ
HIST1H1C	PRKCZ
GAS1	PRKCZ
SERPINE2	PRKCZ
ANGPTL3	PRKCZ
FCGR1A	PRKCZ
GPC2	PRKCZ
IL24	PRKCZ
ABL1	PRKCZ
BCL2	PRKCZ
EPO	PRKCZ
TGFB3	PRKCZ
CDH12	PRKCZ
MMP10	PRKCZ
MED1	PRKCZ
PGAM1	PRKCZ
CCL13	PRKCZ
H2AFZ	PRKCZ
MDM2	PRKCZ
IL28A	PRKCZ
GREM1	PRKCZ
CAPN1	GDI2
RPS27A-UbB	GDI2
UBE2I	GDI2
EHMT2	GDI2
AREG	GDI2
IFNG	GDI2
JAM3	GDI2
FTH1	GDI2
MAPK1	GDI2
PTPN11	GDI2
PRKACA	GDI2
RPS6KA3	GDI2
XPNPEP1	GDI2
CAT	GDI2
CA3	GDI2
MDH1	GDI2
PRDX1	GDI2
PSMA6	GDI2
RPS6KA5	GDI2
SBDS	GDI2
UBE2L3	GDI2
EEF1B2	GDI2
EIF5A	GDI2
KPNB1	GDI2
PDXP	GDI2
UBE2N	GDI2
AKR1A1	GDI2
NME2	GDI2
GPI	GDI2
NAPA	GDI2
TKT	GDI2
TPI1	GDI2
INHBB	GDI2
DHH	GDI2
FGF16	GDI2
FGF8-isoA	GDI2
IL29	GDI2
RPS27A	GDI2
EPB41	GDI2
HBA1	GDI2
CA1	GDI2
CRK	GDI2
ADSL	GDI2
CSNK2A1-2B	GDI2
PPIE	GDI2
HNRNPA2B1	GDI2
TDGF1	ICAM3
OSM	ICAM3
KAT6A	ICAM3
IL4	ICAM3
LGALS4	ICAM3
ICOS	ICAM3
NCR3	ICAM3
