RPS6KA3	EIF5
XPNPEP1	EIF5
CASP3	EIF5
UFM1	EIF5
PPIA	EIF5
TPT1	EIF5
ARID3A	EIF5
UBE2N	EIF5
HSPA1A	EIF5
VTA1	EIF5
EPS15L1	EIF5
FER	EIF5
EIF4G2	EIF5
NME2	EIF5
NSFL1C	EIF5
NUDCD3	EIF5
PFDN5	EIF5
RBM39	EIF5
TKT	EIF5
TPI1	EIF5
PTPN6	EIF5
PDPK1	EIF5
RPS27A	EIF5
GSTP1	EIF5
CRK	EIF5
SHC1	EIF5
EFNA5	EFNA4
NBL1	EFNA4
IL18BP	EFNA4
SERPINE2	EFNA4
LRIG3	EFNA4
CADM1	EFNA4
IGF1R	EFNA4
BIRC7	EFNA4
EPHA2	EFNA4
CDNF	EFNA4
SEMA6A	EFNA4
NTRK3	EFNA5
CNTFR	EFNA5
AGRP	EFNA5
BCAM	EFNA5
KLK8	EFNA5
WIF1	EFNA5
NBL1	EFNA5
IL1R1	EFNA5
PDCD1LG2	EFNA5
TGFBR3	EFNA5
Ck-beta-8-1	EFNA5
CD109	EFNA5
LRIG3	EFNA5
CADM1	EFNA5
INSR	EFNA5
TEC	EFNA5
MFRP	EFNA5
EPHA5	EFNA5
CAMKK1	EFNA5
IGF1R	EFNA5
SLITRK5	EFNA5
EPHA2	EFNA5
ENG	EFNA5
CDNF	EFNA5
CD55	EFNA5
EPHB6	EFNA5
NOTCH1	EFNA5
NRCAM	EFNA5
SEMA6A	EFNA5
UNC5D	EFNA5
ANXA6	EFNA5
DKK4	ERBB2
MBD4	ERBB2
HS6ST1	ERBB2
GRN	ERBB2
EGFR	ERBB3
GHR	ERBB3
BMP1	ERBB3
ALCAM	ERBB3
PRKCZ	ERBB4
FGF1	ERBB4
CNTF	ERBB4
H2AFZ	ERBB4
KIRREL3	ERBB4
MAPK9	ERBB4
WFIKKN2	TACSTD2
ADAM9	TACSTD2
SH2D1A	TACSTD2
ITGAV	TACSTD2
CDNF	TACSTD2
