CDH6	LTBR
MASP1	LTBR
EPHB4	LTBR
LGMN	LTBR
PRSS27	LTBR
CDC42BPB	LTBR
OPCML	LTBR
DKKL1	LTBR
TLR4	LTBR
PPP3R1	LTBR
COLEC12	LTBR
KLK14	LTBR
IL5	LTBR
SYNCRIP	LTBR
DAPK2	LTBR
DYRK3	LTBR
TPM2	LTBR
ZAP70	LTBR
ADCYAP1-27	LTBR
HSD17B1	LTBR
APOD	LTBR
PDIA3	LTBR
SMPDL3A	LTBR
CMPK1	LTBR
RB1	LTBR
PDE2A	LTBR
STK17B	LTBR
MAP3K7	LTBR
ABL2	LTBR
BCAR3	LTBR
CALR	LTBR
CDH15	LTBR
FSTL3	MRC1
CD163	MRC1
NOTCH1	MRC1
TNFRSF21	MRC1
KLK5	CSF1R
LYVE1	CSF1R
NRP1	CSF1R
TNFSF8	CSF1R
CD163	CSF1R
NOTCH3	CSF1R
ICAM3	MST1R
CHEK1	MST1R
PTHLH	MST1R
MATN3	MST1R
BIRC5	MST1R
PTPN11	PAFAH1B2
PRKACA	PAFAH1B2
ASGR1	PAFAH1B2
AKR1A1	PAFAH1B2
TKT	PAFAH1B2
TPI1	PAFAH1B2
RSPO2	PAFAH1B2
STIP1	PAFAH1B2
IGFBP6	CDH3
ARSB	CDH3
C1R	CDH3
PRSS27	CDH3
OPCML	CDH3
DKKL1	CDH3
PPP3R1	CDH3
ETHE1	CDH3
AMH	CDH3
FGFR4	CDH3
JAK2	CDH3
PDE2A	CDH3
TNFRSF13C	CDH3
SNRPF	CDH3
EDAR	PRKCA
GP6	PRKCA
METAP1	PRKCA
CSK	PRKCA
LYN-isoB	PRKCA
BTK	PRKCA
CA13	PRKCA
LYN	PRKCA
DUSP3	PRKCA
ITGA2B	PRKCA
FYN	PRKCA
14-3-3	PRKCA
FER	PRKCA
SPHK1	PRKCA
PDPK1	PRKCA
PPIF	PRKCA
PRKCB	PRKCA
SRC	PRKCA
MAPT	PRKCZ
TDGF1	PRKCZ
PECAM1	PRKCZ
CRLF2	PRKCZ
SOD1	PRKCZ
MMP17	PRKCZ
ESR1	PRKCZ
GAS1	PRKCZ
ANGPTL3	PRKCZ
FCGR1A	PRKCZ
ABL1	PRKCZ
BCL2	PRKCZ
EPO	PRKCZ
TGFB3	PRKCZ
CDH12	PRKCZ
MMP10	PRKCZ
MED1	PRKCZ
