gene1	gene2
OLR1	AZU1
BPI	AZU1
EPS15L1	AZU1
EIF4G2	AZU1
PTPN6	AZU1
PDPK1	AZU1
LIFR	AZU1
ANXA1	AZU1
ICOSLG	AZU1
IMPDH1	AZU1
ELANE	AZU1
TNFSF14	AZU1
DIABLO	GDF5
AIP	GDF5
COTL1	GDF5
AMH	GDF5
JAK2	GDF5
SNRPF	GDF5
CX3CL1	C1Q
CHRDL1	C1Q
PAK3	C1Q
PDE5A	C1Q
C3A-desArg	C3
IGFBP4	C3A-desArg
CTSB	C3A-desArg
B2M	C3A-desArg
PRSS22	C3A-desArg
FAM107B	C3A-desArg
C3A	C3A-desArg
Rev_HV2BE	FAM107A
IL10	FAM107A
CCL8	FAM107A
ACVRL1	FAM107A
FGF5	FAM107A
FGF1	FAM107A
Lymphotoxin-a1b2	FAM107A
HBEGF	FAM107A
SIGLEC1	FAM107A
CCL19	FAM107A
Rev_HV2BE	FGF18
MDK	FGF18
PTN	FGF18
SFRP1	FGF18
CDK8	FGF18
F9ab	FGF18
Rev_HV2BE	FGF20
CCL8	FGF20
HBEGF	FGF20
SIGLEC1	FGF20
PCNA	FGF9
FGF1	FGF9
IL10	Rev_HV2BE
CCL8	Rev_HV2BE
Lymphotoxin-a1b2	Rev_HV2BE
