gene1	gene2
MEPE	ADAMTS1
CA7	ADAMTS1
FGF6	ADAMTS1
NME1	ADAMTS1
PES1	ADAMTS1
LRRTM3	ADAMTS1
IL11	ADAMTS1
GPR114	ADAMTS1
C1R	ADAMTS13
GFRA1	ADAMTS13
SERPINA5	ADAMTS13
FN1-frag3	ADAMTS13
A2M	ADAMTS13
SPARCL1	ADAMTS13
ITIH4	ADAMTS13
DBNL	ADAMTS13
LAG3	ADAMTS13
NOTCH1	ADAMTS13
CA10	CA4
CDK8	CA4
PAK3	CA4
CDC2	CA4
PGD	CTSC
ACP5	CTSA
IGFBP7	CTSA
CXCL12	CTSA
PGD	CTSA
PKM2	CTSA
AK1	CTSA
PPA1	CTSA
KLK12	CTSD
SERPINE2	CTSD
FOLH1	CTSD
SERPINA5	CTSD
PIK3CG	CTSD
STAB2	CTSD
FLT3	CTSD
CDC42BPB	CTSD
RBP4	CTSD
CFHR5	CTSD
KLK14	CTSD
NTF4	CTSD
SYNCRIP	CTSD
DAPK2	CTSD
DYRK3	CTSD
ENTPD3	CTSD
TPM2	CTSD
ZAP70	CTSD
CLU	CTSD
ADCYAP1-27	CTSD
HSD17B1	CTSD
APOD	CTSD
PPIB	CTSD
SMPDL3A	CTSD
SFN	CTSD
PLA2G7	CTSD
STK17B	CTSD
MAP3K7	CTSD
CDH15	CTSD
OLR1	CTSS
TNFSF14	CTSS
KLK12	ENTPD1
FOLH1	ENTPD1
PIK3CG	ENTPD1
STAB2	ENTPD1
FLT3	ENTPD1
IL18R1	ENTPD1
BSG	ENTPD1
CDH6	ENTPD1
MASP1	ENTPD1
EPHB4	ENTPD1
LGMN	ENTPD1
CDC42BPB	ENTPD1
CADM3	ENTPD1
OCIAD1	ENTPD1
CD84	ENTPD1
TLR4	ENTPD1
COLEC12	ENTPD1
KLK14	ENTPD1
IL5	ENTPD1
DAPK2	ENTPD1
DYRK3	ENTPD1
ZAP70	ENTPD1
ADCYAP1-27	ENTPD1
HSD17B1	ENTPD1
PPIB	ENTPD1
PDIA3	ENTPD1
SMPDL3A	ENTPD1
CMPK1	ENTPD1
SFN	ENTPD1
PRLR	ENTPD1
STK17B	ENTPD1
PDE3A	ENTPD1
MAP3K7	ENTPD1
BCAR3	ENTPD1
CALR	ENTPD1
TNFRSF11A	ENTPD1
PDE11A	F7
NTF4	CRISP3
TG	CRISP3
IL23A	CRISP3
OLFM4	CRISP3
ANGPTL3	PRSS7
GPC2	PRSS7
ABL1	PRSS7
CDK2	PRSS7
GZMH	PRSS7
PLK1	PRSS7
BMPER	PRSS7
MBD4	PRSS7
XCL1	PRSS7
MDM2	PRSS7
IL28A	PRSS7
GREM1	PRSS7
LRRTM1	PRSS7
RSPO2	PRSS7
ANGPTL3	GAS1
FCGR1A	GAS1
ABL1	GAS1
BCL2	GAS1
EPO	GAS1
TGFB3	GAS1
CDH12	GAS1
MMP10	GAS1
CCL13	GAS1
H2AFZ	GAS1
MDM2	GAS1
IL28A	GAS1
GREM1	GAS1
COL23A1	GAS1
TFF3	WFIKKN1
SHBG	WFIKKN1
RELT	WFIKKN1
PRKCQ	CNDP2
EIF4EBP2	CNDP2
METAP1	GP6
CSK	GP6
LYN-isoB	GP6
BTK	GP6
CA13	GP6
DUSP3	GP6
ITGA2B	GP6
FYN	GP6
PPIA	GP6
TPT1	GP6
SELP	GP6
EPS15L1	GP6
FER	GP6
EIF4G2	GP6
CLEC1B	GP6
PDPK1	GP6
GP1BA	GP6
MSN	GP6
CD226	GP6
SCARF1	GP6
PPIF	GP6
SHC1	GP6
ELANE	GP6
TNFSF14	GP6
OMD	HAPLN1
CDC2	IDE
AIP	IDE
FOLH1	KLK12
FCN2	KLK12
PIK3CG	KLK12
None	KLK12
STAB2	KLK12
CAMK1D	KLK12
KLK6	KLK12
STK16	KLK12
EPHB4	KLK12
CDC42BPB	KLK12
PPP3R1	KLK12
KLK14	KLK12
DAPK2	KLK12
DYRK3	KLK12
TPM2	KLK12
ZAP70	KLK12
ADCYAP1-27	KLK12
APOD	KLK12
RET	KLK13
TFF3	KLK13
C1QBP	KLK13
KLK7	KLK5
MATK	KLK5
IgE	KLK5
LCORL	KLK5
TGFBR2	KLK5
BCL2	KREMEN2
CAT	KREMEN2
PSMA6	KREMEN2
RPS6KA5	KREMEN2
SBDS	KREMEN2
SEZ6L2	KREMEN2
UBE2L3	KREMEN2
CAMKK1	KREMEN2
EEF1B2	KREMEN2
KPNB1	KREMEN2
LMNB1	KREMEN2
PDXP	KREMEN2
PSMD7	KREMEN2
UBE2N	KREMEN2
FGF6	KREMEN2
FST	KREMEN2
INHBB	KREMEN2
DHH	KREMEN2
FGF16	KREMEN2
IL29	KREMEN2
FLRT1	KREMEN2
CSNK2A1-2B	KREMEN2
HSPA1A	LTA4H
AURKB	MATN3
SST	MATN3
ENTPD3	MATN3
PES1	MEPE
CAMK2A	METAP1
CAMK2B	METAP1
CSK	METAP1
LYN-isoB	METAP1
PTPN11	METAP1
UFC1	METAP1
BTK	METAP1
CAMK2D	METAP1
CA13	METAP1
LYN	METAP1
PRKACA	METAP1
RPS6KA3	METAP1
DUSP3	METAP1
CASP3	METAP1
FYN	METAP1
UFM1	METAP1
PPIA	METAP1
TPT1	METAP1
SNX4	METAP1
SELP	METAP1
14-3-3	METAP1
VTA1	METAP1
EPS15L1	METAP1
FER	METAP1
EIF4G2	METAP1
NSFL1C	METAP1
NUDCD3	METAP1
TKT	METAP1
PTPN6	METAP1
CLEC1B	METAP1
PDPK1	METAP1
GSTP1	METAP1
MAPK14	METAP1
MSN	METAP1
ICOSLG	METAP1
CD226	METAP1
PRKAA2	METAP1
PPIF	METAP1
SHC1	METAP1
PRKCB	METAP1
SRC	METAP1
FETUB	ASAH2
NID2	NID1
PDGFB	NID1
PDGFA	NID1
NOTCH3	NRP1
FETUB	PIGR
PLG	PIGR
ENPP7	PIGR
GRN	PIGR
PIK3CA	SERPINE2
FGF4	SERPINE2
IL25	SERPINE2
NTF4	SERPINE2
CFL1	SERPINE2
SLPI	SERPINE2
ENTPD3	SERPINE2
MFGE8	SERPINE2
NOTCH1	SERPINE2
FCN2	FOLH1
PIK3CG	FOLH1
STAB2	FOLH1
CAMK1D	FOLH1
FLT3	FOLH1
KLK6	FOLH1
STK16	FOLH1
EPHB4	FOLH1
CDC42BPB	FOLH1
COLEC12	FOLH1
KLK14	FOLH1
DAPK2	FOLH1
DYRK3	FOLH1
TPM2	FOLH1
ZAP70	FOLH1
ADCYAP1-27	FOLH1
HSD17B1	FOLH1
APOD	FOLH1
PPIB	FOLH1
SMPDL3A	FOLH1
PDE2A	FOLH1
STK17B	FOLH1
MAP3K7	FOLH1
CDH15	FOLH1
FETUB	RET
AGT	RET
TFF3	RET
SHBG	RET
FAP	RET
MED1	SFRP1
FGF7	SFRP1
F9	SFRP1
ERP29	SFRP1
F9ab	SFRP1
AIP	SEMA3A
ACY1	ACP5
NTF3	ACP5
PGD	ACP5
PCSK7	ACP5
DPT	ACP5
RGMB	CCDC80
THBS4	CCDC80
BOC	CCDC80
CDON	CCDC80
EPHA2	WFIKKN2
CDNF	WFIKKN2
SEMA6A	WFIKKN2
UNC5D	WFIKKN2
TNFRSF14	WFIKKN2
OMD	ACAN
ABL1	ANGPTL3
BMPER	ANGPTL3
MBD4	ANGPTL3
Plasmin	ANGPTL3
IL28A	ANGPTL3
GREM1	ANGPTL3
IL11	ANGPTL3
OLFM4	ANGPTL3
IGFBP7	TGFBI
TFPI	TGFBI
POSTN	TGFBI
SERPINA1	TGFBI
PAPPA	TGFBI
Thrombin	TGFBI
CLU	TGFBI
TEK	BGN
ENTPD5	BGN
GFRA1	C1R
SERPING1	C1R
C4	C1R
COTL1	C1R
LAG3	C1R
MAPK9	C1R
GRAP2	C1R
AURKB	CA10
TYK2	CA10
CADM1	CD109
INSR	CD109
TEK	CD109
IGF1R	CD109
ENG	CD109
NRCAM	CD109
SEMA6A	CD109
TNFRSF14	CD109
FCGR3B	CD48
THBS2	CD48
PLXNC1	CD48
CD163	CD48
CD300C	CD48
B2M	CFC1
CXCL12	CFC1
LCMT1	CFC1
ITIH4	CFC1
GDF2	CFC1
CKAP2	CFC1
CD27	CFC1
NRCAM	CNTN2
CHL1	CNTN4
NTRK2	CNTN4
JAG1	CNTN4
ROBO2	CNTN4
SSRP1	CNTN5
LRPAP1	CST7
DCTN2	CST7
TNFRSF12A	CST7
RGMB	CST6
PI3	CST6
PRTN3	DLL4
CD84	DLL4
TEC	DLL4
SLPI	DLL4
ICOSLG	DLL4
IMPDH1	DLL4
PDE5A	DLL4
ELANE	DLL4
CDC37	FCGR3B
ABL1	FCGR1A
EPO	FCGR1A
TGFB3	FCGR1A
CA9	FCGR1A
CCL13	FCGR1A
MDM2	FCGR1A
IL28A	FCGR1A
CHST2	FCGR1A
CHST6	FCGR1A
GREM1	FCGR1A
WNT7A	FCGR1A
PIK3CG	FCN2
STAB2	FCN2
KLK6	FCN2
MASP1	FCN2
EPHB4	FCN2
CDC42BPB	FCN2
PPP3R1	FCN2
COLEC12	FCN2
KLK14	FCN2
DYRK3	FCN2
CMPK1	FCN2
STK17B	FCN2
MAP3K7	FCN2
BCAR3	FCN2
CALR	FCN2
CDH15	FCN2
TNFRSF11A	FCN2
IL11RA	GFRA1
MST1	GFRA1
SPARCL1	GFRA1
C4	GFRA1
C5B-C6	GFRA1
NXPH1	GFRA1
ITIH4	GFRA1
COTL1	GFRA1
GOT1	GFRA1
GPC5	GFRA1
LAG3	GFRA1
ABL1	GPC2
IL17A	GPC2
TGFB3	GPC2
BMPER	GPC2
FGF4	GPC2
MDM2	GPC2
IL28A	GPC2
IL11	GPC2
PLG	SERPIND1
PDGFC	SERPIND1
Plasminogen	SERPIND1
LRIG3	HTRA2
INSR	HTRA2
IGF1R	HTRA2
EPHA2	HTRA2
CDNF	HTRA2
SEMA6A	HTRA2
HAVCR2	HTRA2
CHRDL1	IGFBP7
IBSP	IGFBP7
CXCL12	IGFBP7
ECE1	IGFBP7
PLAU	IGFBP7
SPON1	IGFBP7
PRSS22	IGFBP7
PPA1	IGFBP7
LAG3	IGFBP7
MAP2K4	IGFBP7
SET	IGFBP7
CD27	IGFBP7
SPOCK2	IGFBP7
THBS4	IL24
ABL1	IL24
FGF4	IL24
IL28A	IL24
IL11	IL24
ADAMTS15	IL24
CADM1	LRIG3
INSR	LRIG3
MFRP	LRIG3
IGF1R	LRIG3
MFGE8	LRIG3
C3B	LRIG3
CDON	LRIG3
SLITRK5	LRIG3
EPHA2	LRIG3
NTRK2	LRIG3
ENG	LRIG3
CDNF	LRIG3
NRCAM	LRIG3
SEMA6A	LRIG3
ANXA6	LRIG3
PRKCI	LRP8
NME1	LRP8
COL23A1	LRP8
GPR114	LRP8
TNFSF8	LY9
HAVCR2	LY9
HFE2	MATN2
DKK3	MATN2
MMP2	MATN2
CHST15	MATN2
CLIC1	MATN2
CD55	MATN2
NOTCH1	MATN2
ROBO2	MATN2
TNFRSF21	MATN2
ALCAM	MATN2
TEK	CADM1
IGF1R	CADM1
SLITRK5	CADM1
EPHA2	CADM1
GDF2	CADM1
ENG	CADM1
ATP5B	CADM1
IL22RA2	CADM1
NRCAM	CADM1
CD200	CADM1
SEMA6A	CADM1
HAVCR2	CADM1
UNC5D	CADM1
CD86	CADM1
PRTN3	PGLYRP1
OLR1	PGLYRP1
BPI	PGLYRP1
LIFR	PGLYRP1
TNFSF14	PGLYRP1
HFE2	RGMB
CFL1	RGMB
CD55	RGMB
EPHB6	RGMB
NRXN3	RGMB
UNC5C	RGMB
TNFRSF21	RGMB
NOTCH1	HFE2
NRXN3	HFE2
TNFRSF21	HFE2
ALCAM	HFE2
ECE1	TFPI
Thrombin	TFPI
CFL1	TFPI
SPON1	TFPI
SLPI	TFPI
F5	TFPI
BOC	THBS4
NTRK2	THBS4
DPT	THBS4
FAP	THBS4
ROBO2	THBS4
CDK2	ABL1
PLK1	ABL1
TGFB3	ABL1
IL20	ABL1
MDM2	ABL1
IL28A	ABL1
GREM1	ABL1
BMP1	ACY1
GPT	ACY1
HSD17B10	ACY1
ENTPD5	SERPINC1
BIRC5	AURKB
IL17D	AURKB
SPHK2	AURKB
TPM2	AURKB
APOD	AURKB
AGR2	AURKB
LYN-isoB	ADRBK1
GSK3A	ADRBK1
LYN	ADRBK1
PTGS2	ADRBK1
RPS7	ADRBK1
NAGK	ADRBK1
PKM2	ADRBK1
GPI	ADRBK1
PEBP1	ADRBK1
RAN	ADRBK1
NAPA	ADRBK1
SFTPD	ADRBK1
HNRNPAB	ADRBK1
HDGFRP2	ADRBK1
CAPG	ADRBK1
MAPK14	ADRBK1
IMPDH1	ADRBK1
PRKAA2	ADRBK1
PRKCB	ADRBK1
SRC	ADRBK1
SLPI	BMP1
CAMK2B	CAMK2A
CSK	CAMK2A
LYN-isoB	CAMK2A
PTPN11	CAMK2A
BTK	CAMK2A
CAMK2D	CAMK2A
LYN	CAMK2A
RPS6KA3	CAMK2A
DUSP3	CAMK2A
FYN	CAMK2A
UFM1	CAMK2A
PPIA	CAMK2A
TPT1	CAMK2A
14-3-3	CAMK2A
VTA1	CAMK2A
EPS15L1	CAMK2A
FER	CAMK2A
EIF4G2	CAMK2A
TKT	CAMK2A
CLEC1B	CAMK2A
PDPK1	CAMK2A
SHC1	CAMK2A
SRC	CAMK2A
CSK	CAMK2B
PRKCI	CAMK2B
LYN-isoB	CAMK2B
PTPN11	CAMK2B
BTK	CAMK2B
CAMK2D	CAMK2B
CA13	CAMK2B
LYN	CAMK2B
DUSP3	CAMK2B
FYN	CAMK2B
UFM1	CAMK2B
PPIA	CAMK2B
TPT1	CAMK2B
14-3-3	CAMK2B
VTA1	CAMK2B
EPS15L1	CAMK2B
FER	CAMK2B
EIF4G2	CAMK2B
PDPK1	CAMK2B
GSTP1	CAMK2B
ICOSLG	CAMK2B
SHC1	CAMK2B
SRC	CAMK2B
FGF6	CA7
CCL13	CA7
TGFB2	CA7
TG	CA7
NME1	CA7
PES1	CA7
AMN	CA7
LRRTM3	CA7
MDM2	CDK2
BIRC5	CDK5
IFNGR1	CDK5
MAPK8	CDK5
PLAU	CDK5
LTA	CDK5
JAK2	CDK5
CHEK2	CDK8
GSK3A	CDK8
CTSH	CDK8
C6	CDK8
PGD	CDK8
SYNCRIP	CDK8
PCSK7	CDK8
NXPH1	CDK8
ITGAV	CDK8
RPSA	CDK8
GCKR	CDK8
HIPK3	CHEK2
GZMH	CD207
PIK3CA	CD207
DMP1	CD207
FGF4	CD207
IL25	CD207
NTF4	CD207
TG	CD207
IBSP	CHRDL1
ASGR1	CHRDL1
SET	CHRDL1
LYN-isoB	CSK
PTPN11	CSK
BTK	CSK
CAMK2D	CSK
CA13	CSK
LYN	CSK
RPS6KA3	CSK
DUSP3	CSK
FYN	CSK
UFM1	CSK
PPIA	CSK
TPT1	CSK
SNX4	CSK
SELP	CSK
14-3-3	CSK
VTA1	CSK
EPS15L1	CSK
FER	CSK
EIF4G2	CSK
NSFL1C	CSK
NUDCD3	CSK
PTPN6	CSK
CLEC1B	CSK
PDPK1	CSK
GPR114	CSK
MAPK14	CSK
ICOSLG	CSK
SCARF1	CSK
PRKAA2	CSK
PPIF	CSK
SHC1	CSK
PRKCB	CSK
SRC	CSK
DKK1	DKK4
PDGFB	DKK4
PDGFA	DKK4
PPBP-pep3	DKK4
DUSP3	ECM1
CXCL13	FETUB
AHSG	FETUB
TFF3	FETUB
AFM	FETUB
F5	FETUB
SHBG	FETUB
RTN4R	FETUB
DMP1	GZMH
FGF4	GZMH
IL25	GZMH
NTF4	GZMH
TGFB2	GZMH
TG	GZMH
LCORL	GZMH
FCRL3	GZMH
SPTAN1	GZMH
TBK1	HCK
BIRC7	HCK
PTPN11	PRKCI
PRKACA	PRKCI
RPS6KA3	PRKCI
NACA	PRKCI
PRDX1	PRKCI
SBDS	PRKCI
EEF1B2	PRKCI
EIF5A	PRKCI
KPNB1	PRKCI
ING1	PRKCI
UBE2N	PRKCI
FGF6	PRKCI
AKR7A2	PRKCI
AKR1A1	PRKCI
VTA1	PRKCI
NME2	PRKCI
NME1	PRKCI
PES1	PRKCI
NAPA	PRKCI
TKT	PRKCI
TPI1	PRKCI
GPR114	PRKCI
STIP1	PRKCI
BTK	LYN-isoB
LYN	LYN-isoB
PRKACA	LYN-isoB
DUSP3	LYN-isoB
FYN	LYN-isoB
PPIA	LYN-isoB
14-3-3	LYN-isoB
AKR7A2	LYN-isoB
PKM2	LYN-isoB
PEBP1	LYN-isoB
NAPA	LYN-isoB
SPHK1	LYN-isoB
PDPK1	LYN-isoB
PRKAA2	LYN-isoB
PPIF	LYN-isoB
SHC1	LYN-isoB
PRKCB	LYN-isoB
SRC	LYN-isoB
PTPN2	PAK3
IL34	PAK3
BCL2A1	PAK7
DDR2	PAK7
TLR2	PAK7
RPSA	PAK7
HPGD	PAK7
PARK7	PAK7
UCHL1	PAK7
SCARF2	PAK7
PDE4D	PAK7
CKAP2	PAK7
BRF1	PAK7
MST1	SERPINA5
SPARCL1	SERPINA5
ITIH4	SERPINA5
GCG	SERPINA5
GOT1	SERPINA5
DBNL	SERPINA5
JAK2	SERPINA5
LAG3	SERPINA5
TNFRSF4	PIK3CA
IL25	PIK3CA
NTF4	PIK3CA
FCRL3	PIK3CA
RPSA	PIK3CA
None	PIK3CG
STAB2	PIK3CG
CAMK1D	PIK3CG
FLT3	PIK3CG
STK16	PIK3CG
BSG	PIK3CG
MMEL1	PIK3CG
CDC42BPB	PIK3CG
OCIAD1	PIK3CG
CD84	PIK3CG
KLK14	PIK3CG
RGMA	PIK3CG
CFL1	PIK3CG
DAPK2	PIK3CG
DYRK3	PIK3CG
ZAP70	PIK3CG
CLU	PIK3CG
ADCYAP1-27	PIK3CG
HSD17B1	PIK3CG
APOD	PIK3CG
PPIB	PIK3CG
PDIA3	PIK3CG
SMPDL3A	PIK3CG
SFN	PIK3CG
PRLR	PIK3CG
PDE3A	PIK3CG
MAP3K7	PIK3CG
BCAR3	PIK3CG
CALR	PIK3CG
CDH15	PIK3CG
TNFRSF11A	PIK3CG
CAMK2D	None
CD84	None
SYNCRIP	None
HNRNPAB	None
CLIC1	None
MED1	PLK1
FGF12	PLK1
IL28A	PLK1
UFC1	PTPN11
BTK	PTPN11
CAMK2D	PTPN11
PRKACA	PTPN11
RPS6KA3	PTPN11
XPNPEP1	PTPN11
CASP3	PTPN11
UFM1	PTPN11
PPIA	PTPN11
TPT1	PTPN11
ARID3A	PTPN11
EEF1B2	PTPN11
EIF5A	PTPN11
SNX4	PTPN11
UBE2N	PTPN11
HSPA1A	PTPN11
VTA1	PTPN11
EPS15L1	PTPN11
FER	PTPN11
EIF4G2	PTPN11
NME2	PTPN11
NSFL1C	PTPN11
PFDN5	PTPN11
TKT	PTPN11
TPI1	PTPN11
PTPN6	PTPN11
RPS27A	PTPN11
GSTP1	PTPN11
CRK	PTPN11
MAPK14	PTPN11
MSN	PTPN11
CSNK2A1-2B	PTPN11
SHC1	PTPN11
CAMK1D	STAB2
FLT3	STAB2
STK16	STAB2
BSG	STAB2
EPHB4	STAB2
MMEL1	STAB2
CDC42BPB	STAB2
CADM3	STAB2
CD84	STAB2
TLR4	STAB2
PPP3R1	STAB2
COLEC12	STAB2
KLK14	STAB2
IL5	STAB2
DAPK2	STAB2
DYRK3	STAB2
ZAP70	STAB2
CLU	STAB2
ADCYAP1-27	STAB2
HSD17B1	STAB2
APOD	STAB2
PPIB	STAB2
PDIA3	STAB2
SMPDL3A	STAB2
CMPK1	STAB2
SFN	STAB2
PRLR	STAB2
PDE2A	STAB2
STK17B	STAB2
PDE11A	STAB2
PDE3A	STAB2
MAP3K7	STAB2
ABL2	STAB2
BCAR3	STAB2
CALR	STAB2
CDH15	STAB2
TNFRSF11A	STAB2
SKP1	TBK1
OLFM4	TBK1
CBX5	PTPN2
NRXN1	PTPN2
CKAP2	PTPN2
BTK	UFC1
CAMK2D	UFC1
CA13	UFC1
DUSP3	UFC1
CASP3	UFC1
UFM1	UFC1
PPIA	UFC1
TPT1	UFC1
SNX4	UFC1
VTA1	UFC1
EPS15L1	UFC1
FER	UFC1
EIF4G2	UFC1
NSFL1C	UFC1
NUDCD3	UFC1
PDPK1	UFC1
CRK	UFC1
CD226	UFC1
SHC1	UFC1
EPO	BCL2
TGFB3	BCL2
CDH12	BCL2
PSMA6	BCL2
SBDS	BCL2
UBE2L3	BCL2
CAMKK1	BCL2
CCL13	BCL2
H2AFZ	BCL2
RBM39	BCL2
INHBB	BCL2
FGF16	BCL2
DDR2	BCL2A1
TLR2	BCL2A1
C5B-C6	BCL2A1
HPGD	BCL2A1
PARK7	BCL2A1
PGK1	BCL2A1
SIRT2	BCL2A1
SCARF2	BCL2A1
PDE4D	BCL2A1
PON1	BMX
ASGR1	IBSP
ITIH4	IBSP
LAG3	IBSP
CAMK2D	BTK
CA13	BTK
LYN	BTK
DUSP3	BTK
CASP3	BTK
ITGA2B	BTK
FYN	BTK
UFM1	BTK
PPIA	BTK
TPT1	BTK
SNX4	BTK
SELP	BTK
14-3-3	BTK
VTA1	BTK
EPS15L1	BTK
FER	BTK
EIF4G2	BTK
NSFL1C	BTK
NUDCD3	BTK
CLEC1B	BTK
PDPK1	BTK
NCK1	BTK
ICOSLG	BTK
CD226	BTK
SCARF1	BTK
PRKAA2	BTK
PPIF	BTK
SHC1	BTK
CPNE1	BTK
TNFSF14	BTK
SRC	BTK
KLK6	CAMK1D
STK16	CAMK1D
KLK14	CAMK1D
ETHE1	CAMK1D
ZAP70	CAMK1D
APOD	CAMK1D
AMH	CAMK1D
IL1RAPL2	CAMK1D
PRLR	CAMK1D
MAP3K7	CAMK1D
CA13	CAMK2D
DUSP3	CAMK2D
FYN	CAMK2D
UFM1	CAMK2D
PPIA	CAMK2D
DYNLRB1	CAMK2D
TPT1	CAMK2D
14-3-3	CAMK2D
CFL1	CAMK2D
VTA1	CAMK2D
EPS15L1	CAMK2D
FER	CAMK2D
SYNCRIP	CAMK2D
PDPK1	CAMK2D
CLIC1	CAMK2D
SHC1	CAMK2D
DUSP3	CA13
CASP3	CA13
ITGA2B	CA13
FYN	CA13
UFM1	CA13
PPIA	CA13
TPT1	CA13
SNX4	CA13
14-3-3	CA13
VTA1	CA13
EPS15L1	CA13
FER	CA13
EIF4G2	CA13
NSFL1C	CA13
NUDCD3	CA13
CLEC1B	CA13
PDPK1	CA13
CCL7	CA13
GP1BA	CA13
NCK1	CA13
CD226	CA13
SCARF1	CA13
PPIF	CA13
SHC1	CA13
TNFSF14	CA13
FCAR	TNFSF8
NTRK1	CDC2
AIP	CDC2
TPO	CDC2
FST	CDC2
FLRT1	CDC2
KYNU	CDC2
PLCG1	CDC2
GSK3A	CMA1
FST	CMA1
PA2G4	CMA1
SFTPD	CMA1
HNRNPAB	CMA1
COL23A1	CMA1
HDGFRP2	CMA1
TYK2	CMA1
TGM3	CSNK2A1
DLL1	CSNK2A1
FN1-frag4	FN1-frag3
FN1	FN1-frag3
C4	FN1-frag3
LAG3	FN1-frag3
FN1	FN1-frag4
LAG3	FN1-frag4
BIRC5	FLT3
CDH6	FLT3
MASP1	FLT3
EPHB4	FLT3
LGMN	FLT3
PRSS27	FLT3
MMEL1	FLT3
CDC42BPB	FLT3
CADM3	FLT3
OPCML	FLT3
OCIAD1	FLT3
RBP4	FLT3
DKKL1	FLT3
TLR4	FLT3
PPP3R1	FLT3
COLEC12	FLT3
KLK14	FLT3
IL5	FLT3
DAPK2	FLT3
DYRK3	FLT3
SH2D1A	FLT3
ADCYAP1-27	FLT3
HSD17B1	FLT3
APOD	FLT3
PPIB	FLT3
SMPDL3A	FLT3
CMPK1	FLT3
SFN	FLT3
RB1	FLT3
PDE2A	FLT3
STK17B	FLT3
PDE11A	FLT3
MAP3K7	FLT3
ABL2	FLT3
BCAR3	FLT3
CALR	FLT3
CDH15	FLT3
TNFRSF11A	FLT3
PAPPA	FSTL3
CFL1	FSTL3
CTSZ	FSTL3
CD55	FSTL3
EPHB6	FSTL3
RTN4R	FSTL3
NOTCH1	FSTL3
UNC5C	FSTL3
TNFRSF21	FSTL3
ALCAM	FSTL3
CXCL10	GZMA
DYNLRB1	GSK3A
SGTA	GSK3A
PGD	GSK3A
PKM2	GSK3A
PA2G4	GSK3A
RAN	GSK3A
NAPA	GSK3A
SPHK1	GSK3A
HNRNPAB	GSK3A
AK1	GSK3A
Lymphotoxin-a2b1	IL15RA
PAK6	IL15RA
RASA1	IL15RA
DUSP3	IL8
Thrombin	IL8
EPS15L1	IL8
IL6	IL8
CCL7	IL8
PPA1	IL8
TEK	INSR
IGF1R	INSR
ENG	INSR
NRCAM	INSR
RELT	INSR
SEMA6A	INSR
CRP	SERPINA4
STK16	KLK6
EPHB4	KLK6
OPCML	KLK6
PPP3R1	KLK6
KLK14	KLK6
ZAP70	KLK6
APOD	KLK6
IL1RAPL2	KLK6
PDE2A	KLK6
STK17B	KLK6
IMPDH2	KLK6
PLCG1	LCK
PRKACA	LYN
RPS6KA3	LYN
DUSP3	LYN
FYN	LYN
PPIA	LYN
14-3-3	LYN
AKR7A2	LYN
EIF4G2	LYN
PKM2	LYN
NAPA	LYN
SPHK1	LYN
PTPN6	LYN
PDPK1	LYN
MAPK14	LYN
PRKAA2	LYN
PPIF	LYN
PRKCB	LYN
SRC	LYN
DKK3	POSTN
BOC	POSTN
PIM1	BCAN
RPS6KA3	PRKACA
XPNPEP1	PRKACA
CASP3	PRKACA
UFM1	PRKACA
PPIA	PRKACA
RPS7	PRKACA
ARID3A	PRKACA
CDC37	PRKACA
KPNB1	PRKACA
14-3-3	PRKACA
AKR7A2	PRKACA
VTA1	PRKACA
EIF4G2	PRKACA
NME2	PRKACA
NAPA	PRKACA
TKT	PRKACA
TPI1	PRKACA
PTPN6	PRKACA
PDPK1	PRKACA
CRK	PRKACA
MAPK14	PRKACA
CSNK2A1-2B	PRKACA
PRKAA2	PRKACA
PPIF	PRKACA
PRKCB	PRKACA
STIP1	PRKACA
XPNPEP1	RPS6KA3
CASP3	RPS6KA3
UFM1	RPS6KA3
PPIA	RPS6KA3
RPS7	RPS6KA3
TPT1	RPS6KA3
ARID3A	RPS6KA3
SNX4	RPS6KA3
UBE2N	RPS6KA3
AKR1A1	RPS6KA3
VTA1	RPS6KA3
EIF4G2	RPS6KA3
NME2	RPS6KA3
NSFL1C	RPS6KA3
RBM39	RPS6KA3
TKT	RPS6KA3
TPI1	RPS6KA3
PTPN6	RPS6KA3
SFTPD	RPS6KA3
PDPK1	RPS6KA3
GSTP1	RPS6KA3
CAPG	RPS6KA3
MAPK14	RPS6KA3
ICOSLG	RPS6KA3
CSNK2A1-2B	RPS6KA3
SHC1	RPS6KA3
HNRNPA2B1	RPS6KA3
SRC	RPS6KA3
ETHE1	STK16
CFL1	STK16
ZAP70	STK16
APOD	STK16
IL1RAPL2	STK16
PRLR	STK16
MAP3K7	STK16
CDH6	BIRC5
MASP1	BIRC5
PRSS27	BIRC5
CDC42BPB	BIRC5
CADM3	BIRC5
OPCML	BIRC5
OCIAD1	BIRC5
RBP4	BIRC5
DKKL1	BIRC5
MSR1	BIRC5
IL5	BIRC5
DYRK3	BIRC5
SPHK2	BIRC5
TPM2	BIRC5
AGR2	BIRC5
RB1	BIRC5
STK17B	BIRC5
ABL2	BIRC5
BCAR3	BIRC5
SLC25A18	BIRC5
CDH15	BIRC5
EIF4EBP2	MPL
CLEC1B	MPL
PPBP-pep3	MPL
GP1BA	MPL
TEC	THBS1
ITGA2B	THBS1
PDE5A	THBS1
CDH6	NTRK1
LGMN	NTRK1
TPO	NTRK1
SH2D1A	NTRK1
ADCYAP1-38	NTRK1
AGR2	NTRK1
RB1	NTRK1
ITGA2B	DUSP3
